question,answer,source
What are symptoms of nitrogen deficiency in maize?,"Nitrogen-starved maize grows slowly and older leaves turn pale green to yellow, starting from the tip toward the midrib. Growth is stunted and cobs are small. Apply 1 bag of urea or ammonium sulphate per acre after 2–3 weeks of planting.",MoFA / Yara Ghana
How can I correct nitrogen deficiency in maize?,Apply nitrogen fertiliser such as urea or sulphate of ammonia at 2–3 weeks after planting and again when tassels appear. Incorporate into moist soil for best results.,MoFA / Yara Ghana
Why are my maize leaves turning yellow at the bottom?,Likely nitrogen deficiency; older leaves turn yellow first because nitrogen moves from old to new tissue. Apply NPK 15-15-15 or urea as top-dress.,MoFA
Why are maize leaves yellow but the veins still green?,This pattern shows magnesium deficiency. Apply magnesium sulphate (Epsom salt) or use fertiliser with magnesium.,Yara Ghana
What does potassium deficiency look like in maize?,Leaf edges turn yellow or brown (scorching) while the midrib stays green. Use muriate of potash (KCl) or balanced NPK fertiliser.,Yara Ghana
What causes white or light streaks on maize leaves?,Zinc deficiency—common on high-pH or sandy soils. Apply zinc sulphate at 5–10 kg/ha or foliar zinc spray.,Yara Ghana
What planting distance is recommended for maize in Ghana?,"Use 80 × 40 cm spacing (about 25,000 plants/acre) for Obatanpa and Mamaba; 90 × 40 cm for Okomasa and Golden Crystal.",MoFA Handbook
How deep should maize seeds be planted?,Plant 3–5 cm deep in moist soil. Shallow planting leads to poor germination; too deep delays emergence.,MoFA
When should I weed my maize farm?,First weeding 3–4 weeks after planting; second weeding at knee height (about 6 weeks). Weed early to prevent competition.,MoFA
How can I control weeds chemically in maize?,Apply a pre-emergence herbicide like atrazine + metolachlor (3–5 L/ha) soon after planting; follow up with hand-weeding later.,MoFA
